,observations,fl32_gpu_extended_sqrt_par_ell,fl32_gpu_extended_std_par_ell
0,100.0,0.0,0.0
1,200.0,0.0,0.0
2,300.0,0.0,0.0
3,400.0,0.0,0.0
4,500.0,0.0,0.0
5,1000.0,0.0,0.0
6,1500.0,0.0,0.0
7,2000.0,0.0,0.0
8,2500.0,0.0,0.0
9,3000.0,0.0,0.0
10,3500.0,0.0,0.0
11,4000.0,0.0,6.666666666666667
12,4500.0,0.0,0.0
13,5000.0,0.0,13.333333333333334
14,5500.0,0.0,6.666666666666667
15,6000.0,13.333333333333334,20.0
16,6500.0,13.333333333333334,20.0
17,7000.0,0.0,6.666666666666667
18,7500.0,0.0,6.666666666666667
19,8000.0,6.666666666666667,20.0
