,observations,fl32_gpu_cubature_sqrt_par_ell,fl32_gpu_cubature_std_par_ell
0,20.0,0.0,0.0
1,30.0,0.0,0.0
2,40.0,0.0,2.0
3,50.0,0.0,4.0
4,80.0,0.0,19.0
5,100.0,0.0,100.0
6,200.0,0.0,100.0
7,300.0,0.0,100.0
8,400.0,0.0,100.0
9,500.0,0.0,100.0
10,1000.0,0.0,100.0
11,1500.0,0.0,100.0
12,2000.0,0.0,100.0
13,2500.0,0.0,100.0
14,3000.0,0.0,100.0
15,3500.0,0.0,100.0
16,4000.0,0.0,100.0
17,4500.0,1.0,100.0
18,5000.0,0.0,100.0
19,5500.0,0.0,100.0
20,6000.0,0.0,100.0
21,6500.0,1.0,100.0
22,7000.0,2.0,100.0
23,7500.0,2.0,100.0
